Mods count: 382
 
jar name                                                                     | mod id (isMCreator)                                          | mixin configs
azurelib-fabric-1.20.1-3.0.8.jar                                             | azurelib                                                     | azurelib.fabric.mixins.json, azurelib.mixins.json
azurelibarmor-fabric-1.20.1-2.0.14.jar                                       | azurelibarmor                                                | azurelibarmor.mixins.json, azurelibarmor.fabric.mixins.json
badpackets-fabric-0.4.3.jar                                                  | badpackets                                                   | badpackets.mixins.json
balm-fabric-1.20.1-7.3.31.jar                                                | balm                                                         | balm.mixins.json
    /META-INF/jars/kuma-api-fabric-20.1.10+1.20.1.jar                        | kuma_api                                                     | kuma_api.fabric.mixins.json, kuma_api.mixins.json
basicstorage-1.0.5+1.20.1.jar                                                | basic-storage                                                | basic-storage.mixins.json, basic-storage.client.mixins.json
basicweapons-1.2.5+1.20.1.jar                                                | basicweapons                                                 | basicweapons.mixins.json, basicweapons.client.mixins.json
batsgalore-fabric-1.20.1-1.2.3.jar                                           | batsgalore                                                   | batsgalore.mixins.json, regutils-av5hvsz-com-nyfaria-batsgalore-registration.mixins.json
    /META-INF/jars/forgeconfigapiport-fabric-8.0.0.jar                       | forgeconfigapiport                                           | forgeconfigapiport.common.mixins.json
beautify-1.2.0+1.20.1.jar                                                    | beautify                                                     | beautify.mixins.json
bedspreads-fabric-6.3.0+1.20.1.jar                                           | bedspreads                                                   | bedspreads.mixins.json
berserker-class-mod-1.1.0.jar                                                | berserker-rpg                                                | berserker-class-mod.mixins.json
    /META-INF/jars/TinyConfig-2.3.2.jar                                      | com_github_zsoltmolnarrr_tinyconfig                          | 
bestpick-1.0.0+1.20.1.jar                                                    | bestpick                                                     | 
BetterAdvancements-Fabric-1.20.1-0.4.2.10.jar                                | betteradvancements                                           | betteradvancements.mixins.json
bettercombat-fabric-1.8.6+1.20.1.jar                                         | bettercombat                                                 | bettercombat.mixins.json, bettercombat-fabric.mixins.json
BetterCompatibilityChecker-fabric-4.0.8+mc1.20.1.jar                         | bcc                                                          | bcc.mixins.json, bcc.fabric.mixins.json
betterloot-1.0.0+mc1.20.1.jar                                                | betterloot                                                   | 
BetterThirdPerson-Fabric-1.20-1.9.0.jar                                      | betterthirdperson                                            | betterthirdperson.mixins.json
bettervillage-fabric-1.20.1-3.3.1.jar                                        | bettervillage                                                | bettervillage.mixins.json
BHMenu-Fabric-1.20.1-2.4.1.jar                                               | bhmenu                                                       | bhmenu.mixins.json
Bookshelf-Fabric-1.20.1-20.2.13.jar                                          | bookshelf                                                    | bookshelf.fabric.mixins.json, bookshelf.common.mixins.json
bwncr-fabric-1.20.1-3.17.2.jar                                               | bwncr                                                        | bwncr.mixins.json
cardinal-components-api-5.2.3.jar                                            | cardinal-components                                          | 
    /META-INF/jars/cardinal-components-base-5.2.3.jar                        | cardinal-components-base                                     | 
    /META-INF/jars/cardinal-components-block-5.2.3.jar                       | cardinal-components-block                                    | mixins.cardinal_components_block.json
    /META-INF/jars/cardinal-components-chunk-5.2.3.jar                       | cardinal-components-chunk                                    | mixins.cardinal_components_chunk.json
    /META-INF/jars/cardinal-components-entity-5.2.3.jar                      | cardinal-components-entity                                   | mixins.cardinal_components_entity.json
    /META-INF/jars/cardinal-components-item-5.2.3.jar                        | cardinal-components-item                                     | mixins.cardinal_components_item.json
    /META-INF/jars/cardinal-components-level-5.2.3.jar                       | cardinal-components-level                                    | mixins.cardinal_components_level.json
    /META-INF/jars/cardinal-components-scoreboard-5.2.3.jar                  | cardinal-components-scoreboard                               | mixins.cardinal_components_scoreboard.json
    /META-INF/jars/cardinal-components-world-5.2.3.jar                       | cardinal-components-world                                    | mixins.cardinal_components_world.json
carrasconlib-fabric-1.20.1-0.1.jar                                           | carrasconlib                                                 | carrasconlib.mixins.json
Chunky-1.3.146.jar                                                           | chunky                                                       | chunky.mixins.json
citadel-1.20.1-1.0.0.jar                                                     | citadel                                                      | citadel.mixins.json
clickadv-fabric-1.20.1-3.8.jar                                               | clickadv                                                     | clickadv.mixins.json
cloth-config-11.1.136-fabric.jar                                             | cloth-config                                                 | 
    /META-INF/jars/basic-math-0.6.1.jar                                      | cloth-basic-math                                             | 
cloth-config-5.3.58-fabric.jar                                               | cloth-config2                                                | 
    /META-INF/jars/basic-math-0.6.0.jar                                      | cloth-basic-math                                             | 
Clumps-fabric-1.20.1-12.0.0.4.jar                                            | clumps                                                       | clumps.mixins.json
clutter-1.20-0.6.1.jar                                                       | clutter                                                      | clutter.mixins.json
cobweb-fabric-1.20.1-1.0.1.jar                                               | cobweb                                                       | cobweb.mixins.json, cobweb.fabric.mixins.json
collective-1.20.1-8.22.jar                                                   | collective                                                   | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json
combatroll-fabric-1.3.3+1.20.1.jar                                           | combatroll                                                   | combatroll.mixins.json
common-networking-fabric-1.0.5-1.20.1.jar                                    | commonnetworking                                             | 
CompletionistsIndex-v8.0.0-1.20.1-Fabric.jar                                 | completionistsindex                                          | 
compressedblocks-fabric-1.20.2-1.5.0.jar                                     | compressedblocks                                             | 
Configurable-2.2.3-fabric-yarn+1.20.1.jar                                    | configurable                                                 | configurable.mixins.json, configurable-client.mixins.json
configured-fabric-1.20.1-2.2.3.jar                                           | configured                                                   | configured.common.mixins.json, configured.fabric.mixins.json
    /META-INF/jars/core-3.6.6.jar                                            | com_electronwill_night-config_core                           | 
    /META-INF/jars/toml-3.6.6.jar                                            | com_electronwill_night-config_toml                           | 
consularsorigins-1.11.0.jar                                                  | consularsorigins                                             | consularsorigins.mixins.json
Controlling-fabric-1.20.1-12.0.2.jar                                         | controlling                                                  | controlling.mixins.json, controlling.fabric.mixins.json
